Organisation Name	ID	Type	Membership Type	Guaranteed?	Network Member?	First Buyer Label	Membership Status	Money Status	Address	City	County	CountryName	Postcode	Language	LocalCurrencyId	Telephone1	Telephone2_tx	Fax	Email	Website	YearJoined	YearLeft	Publications_mm	FurtherInformation_mm	LastUpdatedOn_dt	OldId_tx	Username_tx	Email2_tx	Email3_tx	Telephone3_tx	ContactFullName_tx	ContactPosition_tx	ContactEmail	Comments	Website	PO/MO/NTO
Teddy Exports	295	FTO Audit Overdue	FTO				Member	Pending	"Tenkasi Road, Alampati Post, Tirumangalam"	Madurai	Madurai District	India	625 706			91 4549 284500	91 9843540424	91 4549 280674	teddy@teddyexports.net	www.teddyexports.net	1997			Teddy is working in co-operation with the local community to obtain wood from sustainably managed resources and is in the process of getting ISO 9000 and EMS 14000 Certification.	1-Nov-13	TEDDYX	teddyx	edchrismurphy@aol.com	gavas13@gmail.com		Amanda Murphy		amanda.raghavan@hotmail.com			PO
Thai Tribal Crafts Fair Trade	299	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"208, Bamrungrat Rd."	Chiang Mai		Thailand	50000	English	16	66 53 241 043		66 53 243 493	info@ttcrafts.co.th	http://www.ttcrafts.co.th	2002		"CD catalogue, available on request and our website: www.ttcrafts.co.th"	Thai Tribal Handicrafts	13-Jun-12	THAITR	thaitr	elias@ttcrafts.co.th	harry@ttcrafts.co.th		Elias Maung	Contact person	suparat@ttcrafts.co.th			Int.
Thanapara Swallows Development Society	288	GS SAR Overdue	FTO	Guaranteed	ECOTA		Member	Pending	"P.O. Sardah, PS Charghat"	Dist. Rajshahi		Bangladesh		"Bengali, English"	20	88 0 722356067	88 0 1716113809	880 7223 56067	thanaswallows@gmail.com	www.thanaparaswallows.com	1999				25-Sep-13	SWALLO	swallo	mynulsanto@yahoo.com	raihanali2002@yahoo.com	880 171821173	Raihan Ali	Executive Director	thanaswallows@gmail.com			PO
The Ants Craft	779	FTO Audit Overdue	FTO		FTFI		Member	Pending	"2286, 1° Cross, 14 A,  Main Hall, 2° Stage, Indranagar"	Bangalore		India	560008		8	080 41715639	080 41521742		pradeep.theants@gmail.com	http://www.theantsstore.com	2012			"special case, once approved and paid, will be directly Registered Member"	11-Mar-13						Pradeep Krishnappa	Managing Director	Pradeep.Krishnappa@theantscraft.com			Int.
The Loyal Workshop	1036	Provisional SAR Due	FTO				Provisional	Paid 2018	"71/1b Prem Chand Boral St, Bowbazar, Kolkata 700012"	Kolkata	India	India				9.1983E+11			megan@theloyalworkshop.com									sarah@theloyalworkshop.com	info@theloyalworkshop.com		Megan Pandermann	Director	megan@theloyalworkshop.com			PO
Top of the World Coffee	832	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"P.O. Box 8975 EPC 1680"	Kathmandu		Nepal		English	5	977 1 557 2762			info@topoftheworldcoffee.com	www.topoftheworldcoffee.com	2014				12-Feb-13			dale@topoftheworldcoffee.com			Dale Lee Nafziger	Chief Executive Officer	info@topoftheworldcoffee.com			Int.
"Training, Assistance and Rural Advancement NGO  (TARANGO)"	643	FTO Audit Due	FTO		ECOTA		Member	Paid 2018	"282/5 1st Colony, Mazar Road, Mirpur-1"	Dhaka		Bangladesh	1216		20	88 02 9034341		88 02 801 53 14	Info@tarango-bd.org	www.tarango-bd.org	2009				28-Oct-13		trngd	wedptar@yahoo.com			U Thein Maung	Director	utheinmaung7@yahoo.com			PO/Int.
TWINE	796	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"1F., No.3, Lane 2, Yongkang. ST., Da'an District."	Taipei City 106		Taiwan	106			886 23688773	886 922890689		twine2006@gmail.com	www.twine.com.tw	2013				12-Jun-16						Elizabeth Tsai	General Manager	twine2006@gmail.com			MO
Usha Exim	963	FTO PV Due	FTO		FTFI		Member	Paid 2018	"224 Okhla Industrial Estate, Phase III"	New Delhi		India				91 11 41078001 			basant@ushaexim.com									sales@ushaexim.com	shastri@ushaexim.com		Mr. Manmohan Shastri	Managing Director	basant@ushaexim.com			PO
Usha Handicrafts	318	FTO PV Overdue	FTO				Member	Paid 2018	"F-36/9, Zohuri Mohalla, Babar Road, Mohammadpur"	Dhaka		Bangladesh	1207	Bengali	20	8.80176E+12		91 880 9 130207	ushahandi@gmail.com	no website	1998				19-Mar-13	USHAHC	ushahc	haqahsanul@gmail.com	ushacrafts2014@gmail.com		Samira Ahsan	Director	ushahandi@gmail.com			PO/Int.
Vietnam Rural Industries Research and Development Institute (VIRI)	607	FTO PV Overdue	FTSO				Member	Paid 2018	No. 35/19 Lac Trung Street	Hanoi		Vietnam				844 3636 8006		844 3636 8007	thoanb@viri.org.vn	www.viri.org.vn	2008				26-Mar-13		vtnmh	fairtrade@viri.org.vn	hongminhneu@gmail.com		Nguyen Bao Thoa	general manager	thoanb@viri.org.vn			NTO
Villageworks Songkhem	718	GS SAR Due	FTO	Guaranteed	AAC		Member	Paid 2018	"#118 Street 113 corner 330, Boungkengkong 3Beong Keong Kong III"	 Phnom Penh		Cambodia	855	Khmer		855 23 215732	855 2 995944 Mobile 		anak@villageworks.biz	www.villageworks.biz	2011			Application approved by the board on special case - EC grant application	24-Apr-14		villwo	socheata@villageworks.biz	sales@villageworks.biz		Anak	general manager	anak@villageworks.biz			PO/Int.
Wax Industri	977	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"Jl. Raya Ngawi – caruban Km 04, Ngawi – East Java"	East Java		Indonesia				62 351 743156			owp@waxindustri.com												Ong Wen Ping	CEO	owp@waxindustri.com			PO
WEAN Multipurpose Cooperative	382	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	"GPO Box 9195, Chakupat, Patan Dhoka"	Lalitpur		Nepal		English	5	977 1 5544981	977 1 5527829	977 1 5544981	weancop@wlink.com.np	weancop.org.np	2006				11-Mar-14		weanmc	pintomail13@gmail.com	weancop.marketing@gmail.com		Kalawati Rai	General Manager	weancop.marketing@gmail.com			PO
WEAVE (Women's Education for Advancement and Empowerment)	701	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"P.O. box 58, Chiang Mai 50202"	Chiang Mai		Thailand	50200		16	66 53 221654		66 53 357695	mong@weave-women.org	www.weave-women.org	2010				31-Jan-14			handicrafts@weave-women.org	ju@weave-women.org		Mitos Urgel	Executive Director	mitos@weave-women.org			Int.
Women's Skills Development Organization (WSDO)	326	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	"Simalchaur, Chautari Margh, Pokhara-8, Kaksi"	Pokhara		Nepal	37000	Nepalese		977 980282 1686	94 461525109	977 9856021686	wsdonepal@gmail.com	www.womensskillsdevelopment.org	2002			"name changed in 2011, from Women's Skill Development Project - to Women's Skill Development Organization - Pokhara"	8-Jan-14	WOMPRO	wompro	rkkwsdo@hotmail.com	meenawsdo@gmail.com		Ramkali Khadka	Executive Director	infomis35@gmail.com			PO
XSPROJECT	897	GS SAR Due	FTO	Guaranteed	FFTI		Member	Paid 2018	"Jl. Kaimun Jaya no.28, Cilandak Barat"	Jakarta		Indonesia	12430			62 21 7591 5840			retno.hapsari@xsproject-id.org	www.xsproject-id.org								retno.hapsari@gmail.com			Retno Haspari	General Manager	retno.hapsari@xsproject-id.org			PO
YD Craft (Y. Development)	994	FTO PV Due	FTO				Member	Paid 2018	"11 Soi Mengrairasmi, Sermsuk Road, Changpuaek Sub-district, Mueang District"	Chiang Mai		Thailand				"66 53 222 620, 66 53 211 606"			ydep@loxinfo.co.th									patcharin@ymcachiangmai.org			Ms. Wipa Salabsang	Manager Assist.	ydep@loxinfo.co.th			PO
